DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,Id,CyberattackType,WashingtoniansAffected,IndustryType,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToContainBreach,DaysToIdentifyBreach,DiscoveredInProgress,DaysOfExposure,EndedOnDayDiscovered,DaysElapsedBeforeNotification,DaysOfExposureRange
02/04/2021 12:00:00 AM,03/17/2021 12:00:00 AM,Cyberattack,02/04/2021 12:00:00 AM,02/08/2021 12:00:00 AM,Automatic Funds Transfer Services Inc.,10427,Ransomware,695,Finance,500-999,1-99,4,0,true,4,false,41,1-99
12/20/2019 12:00:00 AM,03/17/2021 12:00:00 AM,Cyberattack,,,PCS Revenue Control Systems,10428,Phishing,11807,Business,"10,000-49,999",Unknown,,,false,,false,453,Unknown
02/22/2021 12:00:00 AM,03/17/2021 12:00:00 AM,Cyberattack,12/24/2020 12:00:00 AM,12/29/2020 12:00:00 AM,Western Union Retail Money Transfer Partner,10429,Malware,1555,Finance,"1,000-9,999",1-99,0,60,false,5,false,23,1-99
05/24/2020 12:00:00 AM,03/18/2021 12:00:00 AM,Cyberattack,05/24/2020 12:00:00 AM,,Manson Counstruction Co.,10430,Unclear/unknown,1049,Business,"1,000-9,999",Unknown,,0,false,,false,298,Unknown
01/18/2021 12:00:00 AM,03/19/2021 12:00:00 AM,Cyberattack,01/12/2021 12:00:00 AM,01/18/2021 12:00:00 AM,Cancer Treatment Centers of America,10431,Phishing,579,Health,500-999,1-99,0,6,true,6,true,60,1-99
11/29/2020 12:00:00 AM,03/19/2021 12:00:00 AM,Cyberattack,11/18/2020 12:00:00 AM,11/29/2020 12:00:00 AM,"Citywide Home Loans, LLC",10432,Ransomware,2407,Finance,"1,000-9,999",1-99,0,11,true,11,true,110,1-99
02/24/2021 12:00:00 AM,03/22/2021 12:00:00 AM,Theft or Mistake,02/22/2021 12:00:00 AM,02/24/2021 12:00:00 AM,"On Q Fiancial, Inc.",10433,,18066,Finance,"10,000-49,999",1-99,0,2,true,2,true,26,1-99
12/04/2020 12:00:00 AM,03/24/2021 12:00:00 AM,Cyberattack,02/06/2019 12:00:00 AM,12/10/2020 12:00:00 AM,National Wildlife Federation,10434,Malware,3311,Non-Profit/Charity,"1,000-9,999",500+,6,667,true,673,false,110,500+
03/02/2021 12:00:00 AM,04/01/2021 12:00:00 AM,Cyberattack,02/01/2021 12:00:00 AM,,"MHNext, LLC",10435,Unclear/unknown,7714,Business,"1,000-9,999",Unknown,,29,false,,false,30,Unknown
08/14/2020 12:00:00 AM,04/02/2021 12:00:00 AM,Cyberattack,,,FPI Management,10436,Unclear/unknown,1022,Business,"1,000-9,999",Unknown,,,false,,false,231,Unknown
01/07/2021 12:00:00 AM,04/02/2021 12:00:00 AM,Cyberattack,03/01/2020 12:00:00 AM,01/07/2021 12:00:00 AM,"Slate & Tell, LLC",10437,Malware,624,Business,500-999,300-399,0,312,true,312,true,85,300-399
01/27/2021 12:00:00 AM,04/06/2021 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Marines' Memorial Association & Foundation,10438,Ransomware,2625,Non-Profit/Charity,"1,000-9,999",300-399,0,355,false,103,false,69,100-199
12/29/2020 12:00:00 AM,04/06/2021 12:00:00 AM,Cyberattack,11/25/2020 12:00:00 AM,12/25/2020 12:00:00 AM,"Minnetonka Moccasin Company, Inc.",10439,Malware,821,Business,500-999,1-99,0,34,false,30,false,98,1-99
07/01/2020 12:00:00 AM,04/06/2021 12:00:00 AM,Cyberattack,05/26/2020 12:00:00 AM,07/01/2020 12:00:00 AM,Portland State University Foundation,10440,Phishing,4216,Non-Profit/Charity,"1,000-9,999",1-99,0,36,true,36,true,279,1-99
03/11/2021 12:00:00 AM,04/07/2021 12:00:00 AM,Cyberattack,03/30/2020 12:00:00 AM,11/06/2020 12:00:00 AM,American Society for Clinical Pathology,10441,Malware,703,Health,500-999,300-399,0,346,false,221,false,27,200-299
11/24/2020 12:00:00 AM,04/08/2021 12:00:00 AM,Cyberattack,,,MailMyPrescriptions.com,10442,Phishing,507,Health,500-999,Unknown,,,false,,false,135,Unknown
11/08/2020 12:00:00 AM,04/08/2021 12:00:00 AM,Cyberattack,,,Nexelis Group,10443,Ransomware,957,Health,500-999,Unknown,,,false,,false,151,Unknown
09/07/2020 12:00:00 AM,04/09/2021 12:00:00 AM,Cyberattack,04/08/2020 12:00:00 AM,09/21/2020 12:00:00 AM,American College of Emergency Physicians,10444,Unclear/unknown,4148,Health,"1,000-9,999",100-199,14,152,true,166,false,214,100-199
01/11/2021 12:00:00 AM,04/09/2021 12:00:00 AM,Cyberattack,,,"McDougall & Sons, Inc.",10445,Ransomware,5885,Business,"1,000-9,999",Unknown,,,false,,false,88,Unknown
02/11/2021 12:00:00 AM,04/13/2021 12:00:00 AM,Cyberattack,,,FloForm Industries LLC,10446,Ransomware,970,Business,500-999,Unknown,,,false,,false,61,Unknown
01/25/2021 12:00:00 AM,04/13/2021 12:00:00 AM,Cyberattack,01/06/2021 12:00:00 AM,01/25/2021 12:00:00 AM,University of Colorado,10447,Malware,3511,Education,"1,000-9,999",1-99,0,19,true,19,true,78,1-99
04/12/2021 12:00:00 AM,04/15/2021 12:00:00 AM,Cyberattack,12/02/2020 12:00:00 AM,12/10/2020 12:00:00 AM,"AmeriFirst Financial, Inc.",10448,Unclear/unknown,757,Finance,500-999,100-199,0,131,false,8,false,3,1-99
03/18/2021 12:00:00 AM,04/19/2021 12:00:00 AM,Cyberattack,01/07/2021 12:00:00 AM,04/11/2021 12:00:00 AM,"Blade HQ, LLC",10449,Malware,3090,Business,"1,000-9,999",1-99,24,70,true,94,false,32,1-99
03/30/2021 12:00:00 AM,04/26/2021 12:00:00 AM,Cyberattack,03/06/2021 12:00:00 AM,03/30/2021 12:00:00 AM,Seattle Police Officers' Guild,10450,Malware,1297,Non-Profit/Charity,"1,000-9,999",1-99,0,24,true,24,true,27,1-99
04/17/2021 12:00:00 AM,04/28/2021 12:00:00 AM,Unauthorized Access,09/17/2015 12:00:00 AM,04/17/2021 12:00:00 AM,"ClearVoice Research.com, LLC",10451,,21564,Business,"10,000-49,999",500+,0,2039,true,2039,true,11,500+
04/05/2021 12:00:00 AM,04/28/2021 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Direct Relief,10452,Ransomware,926,Non-Profit/Charity,500-999,400-499,0,423,false,103,false,23,100-199
02/27/2021 12:00:00 AM,04/29/2021 12:00:00 AM,Unauthorized Access,02/27/2021 12:00:00 AM,,Insurance Technologies Corporation,10453,,3925,Business,"1,000-9,999",Unknown,,0,false,,false,61,Unknown
